time,s19
2023-07-24 07:38:18,100.0
2023-07-24 07:38:19,100.0
2023-07-24 07:38:20,100.0
2023-07-24 07:38:33,100.0
2023-07-24 07:38:34,100.0
2023-07-24 07:38:35,100.0
2023-07-24 07:38:36,100.0
2023-07-24 07:38:41,100.0
2023-07-24 07:38:42,100.0
2023-07-24 07:38:43,100.0
2023-07-24 07:38:44,100.0
2023-07-24 07:38:49,100.0
2023-07-24 07:38:50,100.0
2023-07-24 07:38:51,100.0
2023-07-24 07:38:52,100.0
2023-07-24 07:38:57,100.0
2023-07-24 07:38:58,100.0
2023-07-24 07:38:59,100.0
2023-07-24 07:39:00,100.0
2023-07-24 07:39:05,100.0
2023-07-24 07:39:06,100.0
2023-07-24 07:39:07,100.0
2023-07-24 07:39:08,100.0
2023-07-24 07:39:15,100.0
2023-07-24 07:39:16,100.0
2023-07-24 07:39:21,100.0
2023-07-24 07:39:22,100.0
2023-07-24 07:39:23,100.0
2023-07-24 07:39:24,100.0
2023-07-24 07:39:29,100.0
2023-07-24 07:39:30,100.0
2023-07-24 07:39:31,100.0
2023-07-24 07:39:32,100.0
2023-07-24 07:39:37,100.0
2023-07-24 07:39:38,100.0
2023-07-24 07:39:39,100.0
2023-07-24 07:39:40,100.0
2023-07-24 07:39:45,100.0
2023-07-24 07:39:46,100.0
2023-07-24 07:39:47,100.0
2023-07-24 07:39:48,100.0
2023-07-24 07:39:53,100.0
2023-07-24 07:39:54,100.0
2023-07-24 07:39:55,100.0
2023-07-24 07:39:56,100.0
2023-07-24 07:40:01,100.0
2023-07-24 07:40:02,100.0
2023-07-24 07:40:03,100.0
2023-07-24 07:40:04,100.0
2023-07-24 07:40:05,100.0
2023-07-24 07:40:06,100.0
2023-07-24 07:40:11,100.0
2023-07-24 07:40:12,100.0
2023-07-24 07:40:13,100.0
2023-07-24 07:40:14,100.0
2023-07-24 07:40:19,100.0
2023-07-24 07:40:20,100.0
2023-07-24 07:40:21,100.0
2023-07-24 07:40:22,100.0
2023-07-24 07:40:27,100.0
2023-07-24 07:40:28,100.0
2023-07-24 07:40:29,100.0
2023-07-24 07:40:30,100.0
2023-07-24 07:40:35,100.0
2023-07-24 07:40:36,100.0
2023-07-24 07:40:37,100.0
2023-07-24 07:40:38,100.0
